event_id,year,final_loss,fit_t0,fit_tE,fit_u0,fit_fbl,fit_I0,true_Tmax,true_tau,true_umin,true_fbl,true_I_bl
2018_1101,2018,0.00832287035882473,2458294.75,33.11762237548828,0.17105981707572937,0.23773406445980072,19.64529037475586,2458296.803,40.758,0.16,0.26,19.68
2018_1132,2018,0.0003096206346526742,2458294.0,20.81340217590332,1.11116623878479,0.7266594767570496,17.3314208984375,2458295.182,39.334,0.411,0.13,17.335
2018_1141,2018,7.406897202599794e-05,2458311.5,19.008861541748047,0.8708532452583313,0.7392454743385315,14.404887199401855,2458312.466,34.024,0.367,0.185,14.407
2018_1143,2018,0.003351550782099366,2458314.5,23.764488220214844,0.35880711674690247,0.8915380239486694,17.916643142700195,2458312.885,24.168,0.284,0.651,17.908
2018_1170,2018,0.012289749458432198,2458301.5,3.055436611175537,0.4016226530075073,0.9708387851715088,19.405502319335938,2458301.956,6.731,0.263,0.511,19.438
2018_1185,2018,0.010044671595096588,2458311.0,5.273054599761963,0.02706298418343067,0.9793549180030823,18.190113067626953,2458310.783,13.301,0.008,0.269,18.238
2018_1203,2018,0.00577843701466918,2458305.5,17.50071144104004,0.7744954228401184,0.9054610133171082,18.319334030151367,2458303.967,113.391,0.084,0.055,18.412
2018_1209,2018,0.017374537885189056,2458320.5,24.45790672302246,0.5724367499351501,0.9740108251571655,19.530086517333984,2458326.875,60.506,0.289,0.58,19.687
2018_1293,2018,0.017671607434749603,2458316.5,77.5600357055664,0.019354263320565224,0.05192390829324722,18.736146926879883,2458317.956,22.988,0.039,0.193,18.658
2018_1337,2018,0.0033710149582475424,2458359.5,91.49239349365234,0.7210822701454163,0.896915078163147,19.163837432861328,2458351.874,148.072,0.32,0.263,19.175
2018_1361,2018,0.003945303615182638,2458358.5,55.54856491088867,0.13811500370502472,0.40444308519363403,19.107643127441406,2458358.354,51.165,0.152,0.443,19.088
2018_1408,2018,0.007813354022800922,2458336.75,23.742582321166992,0.5813650488853455,0.7722508907318115,19.27876853942871,2458334.988,38.257,0.27,0.256,19.267
2018_1458,2018,0.0020287330262362957,2458339.5,3.7704010009765625,0.29600203037261963,0.4640504717826843,18.735240936279297,2458339.431,7.122,0.122,0.166,18.756
2018_1465,2018,0.002148028928786516,2458343.5,6.592161655426025,0.1521987020969391,0.4582189619541168,18.806182861328125,2458343.528,6.89,0.142,0.417,18.805
2018_1480,2018,0.001814584480598569,2458366.5,24.21230125427246,0.08853047341108322,0.3059459924697876,17.885379791259766,2458367.03,32.17,0.066,0.224,17.905
2018_1492,2018,0.0017103981226682663,2458342.5,1.9434030055999756,0.2315778285264969,0.3456065058708191,18.438352584838867,2458342.345,11.423,0.02,0.031,18.453
2018_1502,2018,0.0023153049405664206,2458364.5,24.20590591430664,0.23187993466854095,0.9841943383216858,18.805397033691406,2458362.58,25.798,0.164,0.645,18.799
2018_1511,2018,0.004672652576118708,2458341.5,35.443233489990234,0.3283480703830719,0.5413553714752197,18.99889373779297,2458340.649,38.502,0.256,0.378,18.969
2018_1557,2018,0.001303468132391572,2458392.5,35.35411071777344,0.22373798489570618,0.9758607149124146,18.282489776611328,2458390.086,43.462,0.128,0.513,18.274
2018_1580,2018,6.680662772851065e-05,2458399.5,31.54545021057129,0.12699800729751587,0.5219585299491882,14.37303638458252,2458401.287,25.347,0.185,0.933,14.372
2018_1591,2018,0.0055618127807974815,2458366.5,28.951784133911133,0.2976417541503906,0.7516446113586426,19.49331283569336,2458366.266,29.318,0.277,0.671,19.467
2018_1605,2018,0.0006494065746665001,2458385.5,148.74755859375,0.015018886886537075,0.03387739509344101,17.16912269592285,2458389.614,34.404,0.0,0.314,17.152
2018_1629,2018,0.0029797896277159452,2458370.5,50.004234313964844,0.3299189805984497,0.38000261783599854,18.95554542541504,2458371.391,40.834,0.409,0.489,18.926
2018_1703,2018,0.0011286670342087746,2458372.5,7.413734436035156,1.1822752952575684,0.7340904474258423,18.412378311157227,2458378.075,56.732,0.059,0.032,18.438
2018_1708,2018,0.0003872847883030772,2458387.5,9.394057273864746,1.0845853090286255,0.7865835428237915,17.214330673217773,2458386.226,26.541,0.225,0.066,17.227
2018_1709,2018,0.0005509029142558575,2458385.5,14.665153503417969,1.2886064052581787,0.74515700340271,17.11448860168457,2458383.773,32.429,0.301,0.061,17.107
2018_1739,2018,0.01673923432826996,2458384.75,5.581797122955322,0.11366291344165802,0.8057482242584229,18.90477752685547,2458384.955,12.712,0.035,0.319,18.969
2018_1787,2018,0.008057532832026482,2458409.5,17.68181800842285,0.39769119024276733,0.9097703695297241,19.19649314880371,2458407.77,21.953,0.203,0.427,19.19
2019_0133,2019,0.0002753125154413283,2458600.75,67.18163299560547,0.7381414771080017,0.8429708480834961,17.200233459472656,2458603.148,90.077,0.495,0.436,17.201
2019_0141,2019,0.003968319855630398,2458544.75,8.9268217086792,0.52590012550354,0.7793699502944946,18.70037078857422,2458544.491,10.263,0.406,0.533,18.685
2019_0160,2019,0.00010864194337045774,2458567.0,19.330575942993164,0.5505427718162537,0.8489275574684143,15.782411575317383,2458566.363,19.991,0.509,0.745,15.782
2019_0170,2019,0.0033897366374731064,2458561.75,62.46666717529297,0.054298531264066696,0.9718706011772156,19.687015533447266,2458561.744,67.987,0.049,0.887,19.698
2019_0225,2019,0.008219094946980476,2458547.75,18.904396057128906,0.5158666968345642,0.797682523727417,19.573108673095703,2458550.619,38.069,0.274,0.316,19.566
2019_0245,2019,0.0114448182284832,2458567.75,71.59100341796875,0.06885194778442383,0.35938185453414917,19.690637588500977,2458567.583,46.771,0.113,0.58,19.651
2019_0249,2019,0.001636297209188342,2458608.0,65.74727630615234,0.03820842504501343,0.9736477136611938,18.064992904663086,2458607.607,78.768,0.03,0.745,18.07
2019_0267,2019,0.026523740962147713,2458566.75,33.364200592041016,0.26608988642692566,0.8032490611076355,19.531246185302734,2458568.597,44.881,0.217,0.57,19.437
2019_0342,2019,0.017523912712931633,2458581.75,33.90392303466797,0.08002134412527084,0.9545955061912537,19.767770767211914,2458581.548,35.92,0.068,0.754,19.683
2019_0353,2019,0.0008736708550713956,2458567.75,16.820476531982422,0.4291934370994568,0.6024842262268066,17.28460121154785,2458569.262,19.47,0.365,0.533,17.288
2019_0377,2019,0.0007763945613987744,2458565.75,8.27111530303955,1.1363084316253662,0.7062717080116272,18.019956588745117,2458569.101,21.571,0.401,0.13,18.02
2019_0411,2019,0.01133662648499012,2458582.75,25.83036994934082,0.433011531829834,0.9037002325057983,19.535554885864258,2458581.007,45.132,0.179,0.292,19.558
2019_0430,2019,0.004109679721295834,2458586.75,32.09919738769531,0.1394016295671463,0.38918864727020264,19.189868927001953,2458586.609,19.694,0.242,0.685,19.117
2019_0435,2019,0.0038809827528893948,2458580.5,6.132297992706299,0.6317499279975891,0.6558026671409607,19.082576751708984,2458582.356,76.123,0.076,0.045,19.143
2019_0472,2019,0.0005319006741046906,2458590.75,5.327975749969482,0.08109025657176971,0.9143909811973572,17.646146774291992,2458590.837,5.435,0.08,0.891,17.64
2019_0473,2019,0.00048301712376996875,2458595.0,8.070301055908203,0.6013960242271423,0.7868514060974121,16.581655502319336,2458594.259,12.687,0.268,0.253,16.587
2019_0498,2019,0.0004918156773783267,2458587.75,3.4547460079193115,0.7131320834159851,0.7437171339988708,17.90195083618164,2458587.119,7.967,0.139,0.08,17.899
2019_0507,2019,0.004788344260305166,2458613.0,42.65470504760742,0.15447400510311127,0.6598756313323975,19.26755714416504,2458611.176,38.75,0.155,0.603,19.246
2019_0521,2019,0.004759503528475761,2458602.75,71.47679901123047,0.06840398907661438,0.205129936337471,19.339508056640625,2458603.404,59.138,0.096,0.291,19.333
2019_0525,2019,0.004990716930478811,2458591.75,18.45246696472168,0.4249848425388336,0.567658543586731,19.1368350982666,2458592.645,34.299,0.197,0.207,19.112
