   797  600.64  674.52 18.921  0.802 18.119   8   0 0.025  219   1 0.027
   798  576.96  676.94 18.764  0.848 17.915   8   0 0.013  218   2 0.024
   802  875.83  692.66 17.950  0.970 16.980   8   0 0.012  221   0 0.027
   803  794.21  693.82 18.954  1.480 17.474   8   0 0.030  221   1 0.024
   806  528.00  702.20 18.312  0.877 17.436   8   0 0.009  219   1 0.019
   808  592.54  704.17 18.690  0.869 17.821   7   1 0.005  218   2 0.024
   812  788.73  710.24 18.341  0.831 17.510   8   0 0.015  219   2 0.019
   813  866.11  708.90 18.766  0.814 17.952   8   0 0.025  218   2 0.058
   814  606.19  709.88 18.777  0.754 18.022   8   0 0.028  217   3 0.034
   815  540.64  711.50 18.538  0.953 17.585   8   0 0.023  219   1 0.021
   818  552.63  726.79 18.763  1.023 17.740   8   0 0.025  217   3 0.022
   819  577.68  728.70 18.638  1.150 17.488   7   1 0.009  218   2 0.018
   825  839.93  736.02 18.631  0.920 17.711   8   0 0.025  218   2 0.022
   830  579.28  742.69 20.208  2.320 17.889   6   1 0.031  218   2 0.024
   834  694.68  749.45 18.509  0.728 17.781   8   0 0.019  220   0 0.023
   841  704.66  755.86 18.060  0.993 17.067   8   0 0.014  221   0 0.012
   842  871.23  754.84 18.329  1.122 17.207   8   0 0.017  220   2 0.016
   844  885.24  760.94 18.457  1.023 17.434   8   0 0.012  219   2 0.023
   846  516.41  761.25 18.494  0.613 17.881   8   0 0.015  219   2 0.030
   848  578.14  766.26 18.750  1.036 17.715   8   0 0.027  219   1 0.022
  1077  563.32  355.47 19.459  0.877 18.583   8   0 0.034  217   2 0.046
  1080  470.02  397.91 19.523  0.915 18.608   8   0 0.047  219   1 0.055
  1083  492.34  412.42 19.777  0.769 19.008   8   0 0.051  216   3 0.070
  1084  507.19  429.67 19.474  0.684 18.789   8   0 0.032  218   2 0.068
  1085  446.11  452.73 19.916  1.410 18.506   8   0 0.062  218   2 0.050
  1086  735.02  461.46 19.519  0.933 18.587   8   0 0.028  219   1 0.049
  1087  678.45  466.74 19.505  0.951 18.554   8   0 0.047  218   2 0.071
  1092  890.74  595.39 19.034  0.823 18.211   8   0 0.020  218   2 0.035
  1097  606.65  712.33 19.487  0.934 18.552   8   0 0.067  221   0 0.069
  1099  514.98  758.86 99.999  9.999 18.869   0   0 9.999  219   1 0.072
  1302  524.50  309.41 19.559  1.134 18.425   7   1 0.034  211   2 0.035
  1303  822.94  309.42 19.442  0.962 18.479   7   1 0.024  211   2 0.036
  1307  634.13  312.18 19.397  1.290 18.108   7   0 0.040  213   2 0.029
  1308  719.20  312.04 19.147  1.038 18.109   8   0 0.040  211   2 0.029
  1309  817.46  312.39 19.278  1.023 18.255   8   0 0.027  214   1 0.036
  1312  881.58  311.45 19.635  0.809 18.827   7   0 0.042  211   2 0.054
  1317  670.72  315.48 19.786  0.981 18.805   7   0 0.073  216   1 0.054
  1321  637.20  315.92 19.750  1.065 18.685   8   0 0.049  216   2 0.047
  1323  763.29  318.58 18.975  0.545 18.431   8   0 0.049  217   1 0.046
  1324  520.09  318.80 19.078  0.866 18.212   8   0 0.037  217   0 0.034
  1325  704.94  318.99 19.349  0.830 18.519   8   0 0.055  215   2 0.045
